product_category_name_english,sum(order_item_id),round(avg(price))
cool_stuff,4077,167
pet_shop,2276,110
furniture_decor,11540,88
perfumery,3785,117
garden_tools,5874,112
housewares,9051,91
telephony,5161,71
health_beauty,11081,130
books_technical,275,72
fashion_bags_accessories,2267,75
bed_bath_table,13665,93
sports_leisure,9932,114
consoles_games,1246,138
office_furniture,2538,162
luggage_accessories,1171,129
food,609,58
agro_industry_and_commerce,265,342
electronics,3092,58
computers_accessories,9874,117
construction_tools_construction,1289,156
audio,383,139
baby,3427,134
construction_tools_lights,432,135
toys,4445,118
stationery,2805,92
industry_commerce_and_business,312,148
watches_gifts,6594,201
auto,4881,140
others,1878,112
home_appliances,778,104
kitchen_dining_laundry_garden_furniture,325,165
air_conditioning,362,185
home_confort,513,135
fixed_telephony,366,226
small_appliances_home_oven_and_coffee,77,624
diapers_and_hygiene,66,40
signaling_and_security,307,108
musical_instruments,766,282
small_appliances,745,281
costruction_tools_garden,305,108
art,230,116
home_construction,815,138
books_general_interest,609,85
party_supplies,47,104
construction_tools_safety,252,209
cine_photo,82,96
fashion_underwear_beach,147,73
fashion_male_clothing,156,82
food_drink,365,55
drinks,567,59
furniture_living_room,665,137
market_place,380,91
music,39,159
fashion_shoes,293,90
flowers,37,34
home_appliances_2,243,476
fashio_female_clothing,66,58
computers,235,1098
books_imported,68,77
christmas_supplies,202,58
furniture_bedroom,125,184
home_comfort_2,39,25
portable_kitchen_food_processors,16,265
dvds_blu_ray,70,94
cds_dvds_musicals,16,52
arts_and_craftmanship,26,76
furniture_mattress_and_upholstery,38,115
tablets_printing_image,89,91
costruction_tools_tools,109,154
fashion_sport,38,71
la_cuisine,16,147
pc_gamer,11,172
security_and_services,2,142
fashion_childrens_clothes,8,71
